time,stockVWAP,futureVWAP,basis,stockTopBidVol,stockTopAskVol,stockTopBidPrice,stockTopAskPrice,futureTopBidVol,futureTopAskVol,futureTopBidPrice,futureTopAskPrice,stockNextBidVol,stockNextAskVol,stockNextBidPrice,stockNextAskPrice,futureNextBidVol,futureNextAskVol,futureNextBidPrice,futureNextAskPrice,stockTotalBidVol,stockTotalAskVol,futureTotalBidVol,futureTotalAskVol,stockAverageBidPrice,stockAverageAskPrice,futureAverageBidPrice,futureAverageAskPrice,FairValue,benchmark_score,emabasis5,emabasis2,emabasis10,mom10,prediction,score,position,fees,pnl,capital,total_profit,total_loss,count_profit,count_loss
2017-01-06 09:30:00,545.713,541.794,3.685,13.0,200.0,545.39,545.63,2000.0,4000.0,541.6,542.05,46.0,50.0,545.29,545.78,2000.0,2000.0,541.55,542.15,979.0,432.0,12000.0,20000.0,545.169,545.756,541.392,542.24,3.817,358.86,3.685,3.6849999999999996,3.685,0.0,3.6508236048092,0.03417639519080007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:31:00,544.773,540.933,3.815,129.0,41.0,544.59,544.89,2000.0,6000.0,540.75,541.1,50.0,27.0,544.49,544.94,2000.0,2000.0,540.7,541.2,748.0,471.0,10000.0,14000.0,544.434,545.03,540.56,541.3,3.856,347.569,3.701828426771504,3.7230761184457486,3.693705711100215,0.0,3.7238049061002574,0.06886425465951332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:32:00,545.21,541.357,3.812,100.0,110.0,545.14,545.24,4000.0,2000.0,541.2,541.55,199.0,65.0,545.04,545.34,2000.0,2000.0,540.95,541.6,721.0,550.0,16000.0,14000.0,544.963,545.441,540.837,541.9,3.902,339.97,3.7160900748667127,3.7491213203435594,3.7016275257461144,0.0,3.7231507455508615,0.07611123691849174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:33:00,545.359,541.514,3.661,222.0,90.0,545.19,545.43,2000.0,2000.0,541.45,541.85,75.0,100.0,545.14,545.49,2000.0,2000.0,541.25,541.9,1207.0,923.0,10000.0,12000.0,545.075,545.577,541.18,541.983,4.049,334.35,3.7089586957072425,3.7233111831820427,3.698906821885636,0.0,3.6406506206927065,0.0666949368280315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:34:00,545.359,541.538,3.811,22.0,200.0,545.24,545.49,2000.0,2000.0,541.35,541.75,222.0,398.0,545.19,545.54,4000.0,2000.0,541.3,541.8,978.0,1134.0,12000.0,14000.0,545.013,545.572,541.225,541.986,4.156,336.707,3.7221678850684685,3.7489946429937975,3.7064133666930865,0.0,3.7282269720872065,0.07020574412942651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:35:00,545.199,541.246,3.987,262.0,91.0,545.04,545.19,2000.0,2000.0,541.0,541.25,106.0,129.0,544.89,545.24,2000.0,2000.0,540.95,541.3,2495.0,938.0,16000.0,10000.0,544.701,545.299,540.725,541.48,4.212,340.48,3.7564502531674515,3.818704798102189,3.7252034141404096,0.0,3.835978508544532,0.08893042545089813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:36:00,545.336,541.291,4.011,2.0,91.0,545.24,545.43,4000.0,2000.0,541.15,541.5,50.0,223.0,545.14,545.49,2000.0,2000.0,541.0,541.85,2121.0,1700.0,14000.0,18000.0,545.039,545.576,540.979,541.911,4.299,343.553,3.789401574508039,3.8750267587484215,3.7443423565244203,0.0,3.891068625205075,0.09398727731945372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:37:00,544.577,540.531,4.041,333.0,50.0,544.54,544.79,2000.0,6000.0,540.4,540.85,527.0,299.0,544.44,544.84,2000.0,2000.0,540.25,540.95,1097.0,1035.0,16000.0,20000.0,544.411,544.9,540.038,541.06,4.374,349.173,3.8219708489635558,3.923639195615498,3.7642086314457206,0.0,3.927786823555606,0.09660000090974175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:38:00,543.646,539.558,4.397,858.0,41.0,543.75,543.85,2000.0,6000.0,539.2,539.6,450.0,493.0,543.65,543.9,2000.0,2000.0,539.15,540.2,1802.0,4022.0,10000.0,14000.0,543.654,543.967,539.05,540.036,4.338,355.972,3.8964080486535315,4.0622833652718,3.8065847763791303,0.0,4.161616729807329,0.1202117415658688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:39:00,544.217,540.005,4.343,129.0,118.0,544.14,544.44,2000.0,2000.0,539.65,540.25,50.0,50.0,544.09,544.49,2000.0,2000.0,539.6,540.45,594.0,878.0,10000.0,10000.0,544.039,544.591,539.45,540.56,4.357,353.188,3.9542191251918166,4.144503363991823,3.8425068991991345,0.6579999999999999,4.186881016505166,0.12427023066694347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
